dates;A
22.11.2005;9.92773087218089e-05
23.11.2005;6.23361583199049e-05
28.11.2005;5.82058816995265e-05
29.11.2005;6.76644888235404e-05
30.11.2005;5.7520096240955e-05
01.12.2005;4.08637501272763e-05
02.12.2005;9.7100150846662e-05
05.12.2005;9.75974337024109e-05
06.12.2005;4.89294053413246e-05
07.12.2005;5.84970758591387e-05
08.12.2005;0.00019665407233266
09.12.2005;6.32145485773292e-05
12.12.2005;6.54179378554835e-05
13.12.2005;4.15149293949645e-05
14.12.2005;0.000104068601851859
15.12.2005;4.14875500240388e-05
16.12.2005;3.06957616984835e-05
19.12.2005;5.22787618150137e-05
20.12.2005;0.000123538266630244
21.12.2005;0.000127862098443105
22.12.2005;4.14021884302632e-05
23.12.2005;3.50738415277214e-05
27.12.2005;0.00010915126442166
28.12.2005;0.000113065365237107
29.12.2005;5.27631997434565e-05
30.12.2005;6.61059302672941e-05
03.01.2006;0.000166346422804216
04.01.2006;0.00012660025884792
05.01.2006;0.000112552071190919
06.01.2006;9.53816951302015e-05
09.01.2006;8.64385780852945e-05
10.01.2006;0.000108787432655836
11.01.2006;0.000140855706993544
12.01.2006;6.39495612352316e-05
13.01.2006;0.000230171535887201
17.01.2006;0.000140308291350935
18.01.2006;0.000153681166609029
19.01.2006;0.000105832346706486
20.01.2006;0.000146221651619504
23.01.2006;9.77837712729327e-05
24.01.2006;0.000115472382102414
25.01.2006;0.000101072775302692
26.01.2006;0.000126688948343707
27.01.2006;0.000145765156759896
30.01.2006;6.01221372100978e-05
31.01.2006;0.000176806960045972
01.02.2006;0.000153447733454377
02.02.2006;0.000209946266431485
03.02.2006;0.000152411631568723
06.02.2006;0.000179906182045676
07.02.2006;0.000173912859934906
08.02.2006;0.000131084012727765
09.02.2006;0.000106463957582625
10.02.2006;7.62083460036301e-05
13.02.2006;0.000926184896315343
14.02.2006;0.000180318465604627
15.02.2006;0.000195836515313675
16.02.2006;9.25743285657375e-05
17.02.2006;6.51745824489778e-05
21.02.2006;9.90890939177938e-05
22.02.2006;5.26380199533627e-05
23.02.2006;0.000103649947778859
24.02.2006;8.54538849438877e-05
27.02.2006;6.86529477958365e-05
28.02.2006;0.000103281271811353
01.03.2006;7.2497237660528e-05
02.03.2006;8.17528704463698e-05
03.03.2006;0.000124371824261715
06.03.2006;0.000131982220991492
07.03.2006;0.000135659091516565
08.03.2006;0.000121349562915012
09.03.2006;0.000180573492934625
10.03.2006;0.000219299947781592
13.03.2006;7.94474521851044e-05
14.03.2006;0.000100542966084932
15.03.2006;0.000102932091579207
16.03.2006;8.2991207464655e-05
17.03.2006;9.15919294350027e-05
20.03.2006;0.000147322067582758
21.03.2006;0.000113915092088148
22.03.2006;5.24486631744084e-05
23.03.2006;0.000131688973054241
24.03.2006;0.000145127067029505
27.03.2006;6.98774078032052e-05
28.03.2006;8.80275768779044e-05
29.03.2006;0.000106571052438609
30.03.2006;0.000141655104479596
31.03.2006;7.26887579798159e-05
03.04.2006;0.000100541593184954
04.04.2006;6.88915262132419e-05
05.04.2006;6.01195273774336e-05
06.04.2006;5.88386881464801e-05
07.04.2006;7.51750409924805e-05
10.04.2006;0.000121019057534764
11.04.2006;0.000159487952521909
13.04.2006;0.000129024569898779
17.04.2006;0.000157824732332598
18.04.2006;0.00017808459428564
19.04.2006;0.000100818348437907
20.04.2006;0.000138129076078787
21.04.2006;8.27942794362318e-05
24.04.2006;0.000133854936184211
25.04.2006;0.000121440376258355
26.04.2006;8.35996025592292e-05
27.04.2006;0.000204001003283116
28.04.2006;8.81419378154126e-05
01.05.2006;0.000129195114450001
02.05.2006;0.000143526582345105
03.05.2006;0.000157671250854633
04.05.2006;8.68531586511855e-05
05.05.2006;7.30843667656746e-05
08.05.2006;3.52558419547677e-05
09.05.2006;3.80748339507693e-05
10.05.2006;0.000106608205552255
11.05.2006;0.000122561046251344
12.05.2006;0.000132274321020986
15.05.2006;0.000367162271889349
16.05.2006;0.00138875566815372
17.05.2006;0.000222317973358092
18.05.2006;0.00026997074994194
19.05.2006;0.000263427532147529
22.05.2006;0.00030020493487593
23.05.2006;0.000198994492369104
24.05.2006;0.000618598820769035
25.05.2006;0.000283328569544568
26.05.2006;0.000154763979584909
30.05.2006;0.000100718680515133
31.05.2006;0.000183574741580735
01.06.2006;0.000145304344308866
02.06.2006;0.000172122252230043
05.06.2006;0.000190665123841865
06.06.2006;0.000195194065089692
07.06.2006;0.000224047891497447
08.06.2006;0.000505234433336186
09.06.2006;0.000121869476466669
12.06.2006;0.000297513603300757
13.06.2006;0.000479606917450116
14.06.2006;0.000135954821629609
15.06.2006;0.000244630723935254
16.06.2006;0.000166803432785754
19.06.2006;0.000292970147084006
20.06.2006;0.000215594128767827
21.06.2006;0.000173860323887754
22.06.2006;0.000264131727014608
23.06.2006;0.00127620991877609
26.06.2006;0.000296083917274037
27.06.2006;0.000190992950577084
28.06.2006;0.000182915712750985
29.06.2006;0.00023795468298582
30.06.2006;0.000265117474655153
05.07.2006;0.000224114307944398
06.07.2006;0.000198373015845279
07.07.2006;0.000300045123703657
10.07.2006;0.000134450892467127
11.07.2006;0.000622066630776376
12.07.2006;0.000522047991620774
13.07.2006;0.000362169418994191
14.07.2006;0.000288121415557809
17.07.2006;0.000198952980032963
18.07.2006;0.000384420429491236
19.07.2006;0.000619220801124437
20.07.2006;0.00036307958597253
21.07.2006;0.000600779536442497
24.07.2006;0.000265664231209019
25.07.2006;0.000428943871501324
26.07.2006;0.000442518969241168
27.07.2006;0.000275222381162547
28.07.2006;0.000382085314064049
31.07.2006;0.000204971201356355
01.08.2006;0.000218618972237925
02.08.2006;0.000597795222796571
03.08.2006;0.000308728406371316
04.08.2006;0.000500854737496312
07.08.2006;0.000298714014302623
08.08.2006;0.000715841994733154
09.08.2006;0.000497944916394302
10.08.2006;0.00037815988768278
11.08.2006;0.000122102691378835
14.08.2006;0.000327896553461966
15.08.2006;0.000747861027426239
16.08.2006;0.00028843508176255
17.08.2006;0.000130475921057154
18.08.2006;0.000222934816379524
21.08.2006;9.3748384160677e-05
22.08.2006;0.000105733746130365
23.08.2006;0.000134583614457887
24.08.2006;0.000202907972106707
25.08.2006;9.97369148118666e-05
28.08.2006;0.000108104015577131
29.08.2006;0.000150257030354747
30.08.2006;0.000192201231329043
31.08.2006;0.000119546487580796
01.09.2006;0.000155446176020829
05.09.2006;0.000161249236933284
06.09.2006;0.00019913505829532
07.09.2006;0.000249403431747633
08.09.2006;0.000223692635066968
11.09.2006;0.000181919820433482
12.09.2006;0.000168637797157305
13.09.2006;8.35305092363223e-05
14.09.2006;0.000250612142240937
15.09.2006;0.000173374876877253
18.09.2006;0.000161397158474626
19.09.2006;0.000130489310507035
20.09.2006;0.000154059725548304
21.09.2006;0.000168379720611633
22.09.2006;0.000126945880257109
25.09.2006;0.000362498816832277
26.09.2006;0.000345173143761815
27.09.2006;0.000206567973530941
28.09.2006;0.000117918117083244
29.09.2006;0.000100993565429663
02.10.2006;0.000147400942492056
03.10.2006;0.000153728937708558
04.10.2006;0.000202759169826755
05.10.2006;0.000128985954788245
06.10.2006;0.000174787985286993
09.10.2006;0.00013719343993365
10.10.2006;8.56679068531225e-05
11.10.2006;0.0001614616712886
12.10.2006;0.000152269659600738
13.10.2006;0.000149917119727141
16.10.2006;7.23938820185985e-05
17.10.2006;0.00013743144681747
18.10.2006;0.000135204880829471
19.10.2006;7.44604194883871e-05
20.10.2006;6.67709829759948e-05
23.10.2006;0.000107679377941618
24.10.2006;6.58433840783117e-05
25.10.2006;7.63485320979144e-05
26.10.2006;9.67220161485227e-05
27.10.2006;0.000153292785114221
30.10.2006;9.81121567711504e-05
31.10.2006;0.000129382301587437
01.11.2006;0.000208043697400919
02.11.2006;0.000148350871859504
03.11.2006;0.00021558255726017
06.11.2006;0.000175680323177044
07.11.2006;0.000126151484463151
08.11.2006;0.000164459660046001
09.11.2006;6.53149265135711e-05
10.11.2006;8.30614632031268e-05
13.11.2006;0.000136366432068295
14.11.2006;0.00102561976212882
15.11.2006;0.000173802539870647
16.11.2006;0.000225258409438233
17.11.2006;8.53918280521725e-05
20.11.2006;0.000140309613052376
21.11.2006;5.20935520737299e-05
22.11.2006;5.01408719175952e-05
27.11.2006;0.000154846104911712
28.11.2006;0.00014670891368842
29.11.2006;0.000262125758179408
30.11.2006;6.13137168312772e-05
01.12.2006;0.000103902566148623
04.12.2006;0.000170607612063579
05.12.2006;0.000205254533934922
06.12.2006;0.000112530887215149
07.12.2006;0.000153554796588697
08.12.2006;0.000205569071054142
11.12.2006;0.0001081830378242
12.12.2006;0.000316860732329196
13.12.2006;6.07886256862717e-05
14.12.2006;9.38195572725422e-05
15.12.2006;0.000104568593725259
18.12.2006;9.63489256590464e-05
19.12.2006;0.000180161965958796
20.12.2006;0.000171031613973154
21.12.2006;0.000128137204341302
22.12.2006;8.85843622743294e-05
26.12.2006;0.000106979094184716
27.12.2006;9.43235075772195e-05
28.12.2006;0.000103278109406646
29.12.2006;9.87302206403524e-05
03.01.2007;0.000119211330017446
04.01.2007;0.000467323348068387
05.01.2007;7.37558310119077e-05
08.01.2007;0.000160834744595133
09.01.2007;0.000129187677956125
10.01.2007;0.000356100615593157
11.01.2007;0.00012659864026133
12.01.2007;0.000102678457652888
16.01.2007;0.000148301676499519
17.01.2007;0.000152302824071851
18.01.2007;0.000207615398103809
19.01.2007;9.37081912971702e-05
22.01.2007;7.7379009768683e-05
23.01.2007;9.79160480037929e-05
24.01.2007;0.000118426991705324
25.01.2007;0.000189629423327743
26.01.2007;0.000141934244233137
29.01.2007;0.000131756095200439
30.01.2007;5.99964219866576e-05
31.01.2007;4.45646638903431e-05
01.02.2007;8.58708413704644e-05
02.02.2007;7.80508427627633e-05
05.02.2007;0.000143671193458715
06.02.2007;0.000101485594161659
07.02.2007;0.000137706858913746
08.02.2007;0.000100999770431031
09.02.2007;9.32036152346622e-05
12.02.2007;2.55953820997264e-05
13.02.2007;7.44735104788312e-05
14.02.2007;0.000114640700096296
15.02.2007;0.000227212141984266
16.02.2007;0.000285820303658026
20.02.2007;0.00026787532348649
21.02.2007;0.000161902062018846
22.02.2007;5.72797076682738e-05
23.02.2007;7.14848707076273e-05
26.02.2007;7.56444167359844e-05
27.02.2007;0.000451884608014874
28.02.2007;0.000505084812981559
01.03.2007;0.000237066737956284
02.03.2007;0.000201027727731721
05.03.2007;0.000261699951581726
06.03.2007;9.35789005821538e-05
07.03.2007;0.000108301692673896
08.03.2007;0.000192629925981261
09.03.2007;9.94818480686784e-05
12.03.2007;2.55025676044087e-05
13.03.2007;0.000173835464907337
14.03.2007;0.000187467757835777
15.03.2007;7.71997763764263e-05
16.03.2007;7.30304176439946e-05
19.03.2007;6.67864112612974e-05
20.03.2007;0.00012111465878508
21.03.2007;0.000148785035141684
22.03.2007;0.000178895363352451
23.03.2007;0.000151893889818215
26.03.2007;0.000159402282667995
27.03.2007;5.59978818931359e-05
28.03.2007;9.27678880650839e-05
29.03.2007;8.8940143904033e-05
30.03.2007;5.81708169631846e-05
02.04.2007;4.94369458954204e-05
03.04.2007;8.35651409412083e-05
04.04.2007;1.84530778555449e-05
05.04.2007;4.14989846261669e-05
09.04.2007;3.85404045462525e-05
10.04.2007;4.68757756789432e-05
11.04.2007;7.72096176280604e-05
12.04.2007;7.37244836083274e-05
13.04.2007;0.000168629846289997
16.04.2007;3.64297835382965e-05
17.04.2007;9.872428604904e-05
18.04.2007;6.84637959898125e-05
19.04.2007;7.62452583568073e-05
20.04.2007;6.93259588100325e-05
23.04.2007;6.14866248455565e-05
24.04.2007;8.13559384636541e-05
25.04.2007;1.22982956126262e-05
26.04.2007;3.0505280257727e-05
27.04.2007;0.000118847356063749
30.04.2007;6.37941128844418e-05
01.05.2007;0.000172559847397011
02.05.2007;5.72860565334725e-05
